name,originalName,pzn,description,category,image,url
Q10 ACTIVE Crema giorno per pelle secca,Q10 Active Tag,8651665,"intensive Gesichtspflege, reduziert nachweisbar die Faltentiefe, wirkt der Bildung neuer Falten entgegen.",Care,http://www.eucerin.de/~/media/Eucerin/local/de/products/q10-active/63413-EUCERIN-INT-Q10_Active-product-header-Day-PS.png?mh=150&mw=215&rh=1&z=1,http://www.eucerin.de/produkte/q10-active/tagespflege-fuer-trockene-haut
10percent urea crema rigenerante piedi,Repair Fußcreme 10% Urea,1667278,wirkt intensiv pflegend und schützend und spendet nachhaltig Feuchtigkeit. Mindert Druckstellen und Verhornung. Ideal auch zur Fußpflege bei Diabetes.,Care,http://www.eucerin.de/~/media/Eucerin/local/de/products/urea/63300-PS-Urea-product-header-Repair_Foot_Creme-At.png?mh=150&mw=81&rh=1&z=1,http://www.eucerin.de/produkte/urea/repair-fusscreme-10prozent-urea
Complete repair 10% Urea,Repair Salbe 10% Urea,4404415,"zur lokalen Körperpflege (z. B. Ellenbogen), wirkt intensiv hautbefeuchtend und schützend, lindert den Juckreiz.",Special,http://www.eucerin.de/~/media/Eucerin/local/de/products/urea/63607EUCERININTUreaproductheaderRepairOintment10Urea.png?mh=150&mw=81&rh=1&z=1,http://www.eucerin.de/produkte/urea/repair-salbe-10prozent-urea
After Sun Lotion,After Sun Lotion,3820169,Die After Sun Lotion beruhigt sonnengestresste Haut und fördert die Hautregeneration.,Special,http://www.eucerin.de/~/media/Eucerin/local/de/products/sun-protection/63851-PS-SUN-product-header-after-sun-lotion-AT.png?mh=150&mw=215&rh=1&z=1,http://www.eucerin.de/produkte/sonnenschutz/after-sun-lotion
Kids Micropigment Sun Lotion SPF 25,Kids Micropigment Sun Lotion LSF 30,11363467,Sonnenlotion mit mittlerem UV-Schutz für Babys ab 3 Monaten und Kleinkinder,Special,http://www.eucerin.de/~/media/Eucerin/local/de/products/sun-protection/EUCERIN-DE-SUN-product-header-kids-micropigment-lotion-SPF-30-PS.png?mh=150&mw=215&rh=1&z=1,http://www.eucerin.de/produkte/sonnenschutz/kids-micropigment-sun-lotion-lsf-30
Kids Sun Lotion SPF 50+,Kids Sun Lotion LSF 50+,9298449,Sonnenlotion mit sehr hohem UV-Schutz für Kinder ab 3 Monaten,Special,http://www.eucerin.de/~/media/Eucerin/local/de/products/sun-protection/63852-PS-SUN-product-header-kids-lotion-SPF-50-AT.png?mh=150&mw=215&rh=1&z=1,http://www.eucerin.de/produkte/sonnenschutz/kids-sun-lotion-lsf-50plus
Kids Sun Spray SPF 50+,Kids Sun Spray LSF 50+,9298432,Spray mit sehr hohem UV-Schutz für Kinder ab 6 Monaten,Special,http://www.eucerin.de/~/media/Eucerin/local/de/products/sun-protection/63853-PS-SUN-product-header-kids-spray-SPF-50-AT.jpg?mh=150&mw=215&rh=1&z=1,http://www.eucerin.de/produkte/sonnenschutz/kids-sun-spray-lsf-50plus
Allergy Protection After Sun Creme-Gel,Sonnen Allergie Schutz After Sun Creme-Gel,7415508,"Hochwirksames After Sun Creme-Gel für sonnengestresste Haut und Haut, die zu Sonnenallergie neigt",Special,http://www.eucerin.de/~/media/Eucerin/local/de/products/sun-protection/63850-PS-SUN-product-header-allergy-protection-after-sun-creme-gel-AT.png?mh=150&mw=215&rh=1&z=1,http://www.eucerin.de/produkte/sonnenschutz/sonnen-allergie-schutz-after-sun-creme-gel
Allergy Protection Sun Creme-Gel SPF 25,Sonnen Allergie Schutz Sun Creme-Gel LSF 25,3842834,Das Sun Creme-Gel mit leichter Konsistenz schützt vor Sonnenallergien und lichtbedingten Hautschäden.,Special,http://www.eucerin.de/~/media/Eucerin/local/de/products/sun-protection/63849-PS-SUN-product-header-allergy-protection-sun-creme-gel-SPF-25-AT.png?mh=150&mw=215&rh=1&z=1,http://www.eucerin.de/produkte/sonnenschutz/sonnen-allergie-schutz-sun-creme-gel-lsf-25
Allergy Protection Sun Creme-Gel SPF 50,Sonnen Allergie Schutz Sun Creme-Gel LSF 50,7415483,Creme-Gel Sonnenschutz mit hohem UV-Schutz und Sonnenallergieschutz,Special,http://www.eucerin.de/~/media/Eucerin/local/de/products/sun-protection/63944-PS-SUN-product-header-allergy-protection-sun-creme-gel-SPF-50-AT.png?mh=150&mw=215&rh=1&z=1,http://www.eucerin.de/produkte/sonnenschutz/sonnen-allergie-schutz-sun-creme-gel-lsf-50
Sun Creme Getönt CC Hell LSF 50+,Sun Creme Getönt CC Hell LSF 50+,11321291,"bietet zuverlässigen Schutz vor Sonnenbrand und UV-bedingten Hautschäden, sorgt für einen gleichmäßig getönten Teint. Auch nach Peelings und Laserbehandlungen.",Special,http://www.eucerin.de/~/media/Eucerin/local/de/products/sun-protection/anti-age-50-hell.png?mh=150&mw=215&rh=1&z=1,http://www.eucerin.de/produkte/sonnenschutz/sun-creme-getoent-cc-hell-lsf-50plus
Sun Creme SPF 50+,Sun Creme LSF 50,802461,"schützt die Gesichtshaut zuverlässig vor Sonnenbrand und UV-bedingten Hautschäden, auch bei Neurodermitis. Auch nach Peelings und Laserbehandlungen.",Special,http://www.eucerin.de/~/media/Eucerin/local/de/products/sun-protection/63842-PS-SUN-product-header-creme-SPF-50plus-AT.png?mh=150&mw=81&rh=1&z=1,http://www.eucerin.de/produkte/sonnenschutz/sun-creme-lsf-50plus
Sun Fluid LSF 50,Sun Fluid LSF 50,3863374,"schützt die Gesichtshaut zuverlässig vor Sonnenbrand und UV-bedingten Hautschäden, mattiert die Haut, auch bei Akne, nach Peelings und Laserbehandlungen.",Special,http://www.eucerin.de/~/media/Eucerin/local/de/products/sun-protection/63840-PS-SUN-product-header-fluid-mattifying-face-SPF-50plus-AT.png?mh=150&mw=81&rh=1&z=1,http://www.eucerin.de/produkte/sonnenschutz/sun-fluid-mattierend-lsf-50plus
Sun fluid anti-eta FP50,Sun Fluid Anti-Age LSF 50,11321345,"Hochwirksamer Sonnenschutz mit Anti-Ageing-Wirkung für die tägliche Pflege, der für alle Hauttypen, inklusive empfindlicher Haut, geeignet ist.",Special,http://www.eucerin.de/~/media/Eucerin/international/products/sun-protection/anti-age/sun-age-50-1.png?mh=150&mw=215&rh=1&z=1,http://www.eucerin.de/produkte/sonnenschutz/sun-fluid-anti-age-lsf-50
Sun oil control FP 50 plus,Sun Gel-Creme Oil Control LSF50+,10832664,"Sonnencreme für das Gesicht mit ultra-leichter Textur, die sehr hohen UV-Schutz mit langanhaltendem Anti-Glanz Effekt in sich vereint.",Special,http://www.eucerin.de/~/media/Eucerin/local/de/products/sun-protection/EUCERIN-SUN-GEL-CREME_LSF50-oil-control-PS.png?mh=150&mw=81&rh=1&z=1,http://www.eucerin.de/produkte/sonnenschutz/sun-gel-creme-oil-control-lsf50plus
Sun lotion ultra light FP 50,Sun Lotion Extra Leicht LSF 50,3815725,Sonnenlotion für den Körper mit UV-Schutz und Zellschutz,Special,http://www.eucerin.de/~/media/Eucerin/local/de/products/sun-protection/63846-PS-SUN-product-header-lotion-SPF-50-extra-light-AT.png?mh=150&mw=215&rh=1&z=1,http://www.eucerin.de/produkte/sonnenschutz/sun-lotion-extra-leicht-lsf50
Sun spray transparent FP 50,Sun Spray Transparent LSF 50,7415514,Transparentes Spray für den Körper mit hohem UV-Schutz und Zellschutz,Special,http://www.eucerin.de/~/media/Eucerin/local/de/products/sun-protection/63907-sun-spray-transparent-SPF-50-.png?mh=150&mw=215&rh=1&z=1,http://www.eucerin.de/produkte/sonnenschutz/sun-spray-transparent-lsf-50
Ultrasensitive trattamento lenitivo pelle da normale o mista,UltraSensitive Beruhigende Pflege für Normale Haut bis Mischhaut,10268689,"Tages- und Nachtpflege, verleiht sofort ein angenehmes Hautgefühl und mindert die Überempfindlichkeit der Haut.",Care,http://www.eucerin.de/~/media/Eucerin/local/de/products/hyper-sensitive/Packshots/Ultra_Sens_normale_Haut_png.png?mh=150&mw=81&rh=1&z=1,http://www.eucerin.de/produkte/sehr-empfindliche-haut/ultrasensitive-beruhigende-pflege-fuer-normale-haut-bis-mischhaut
UltraSensitive Beruhigende Pflege für trockene Haut,UltraSensitive Beruhigende Pflege für trockene Haut,10268672,"Tages- und Nachtpflege für trockene, sehr empfindliche Haut.",Care,http://www.eucerin.de/~/media/Eucerin/local/de/products/hyper-sensitive/Packshots/Ultra_Sens_trockene_Haut_png.png?mh=150&mw=81&rh=1&z=1,http://www.eucerin.de/produkte/sehr-empfindliche-haut/ultrasensitive-beruhigende-pflege-fuer-trockene-haut
Ultrasensitive lozione detergente,UltraSensitive Reinigungslotion,10268695,"reinigt die Haut gründlich, lindert Rötungen und sorgt sofort für ein langanhaltendes angenehmes Hautgefühl.",Cleaning,http://www.eucerin.de/~/media/Eucerin/local/de/products/hyper-sensitive/Packshots/Ultra_Sens_Reinigung_png.png?mh=150&mw=81&rh=1&z=1,http://www.eucerin.de/produkte/sehr-empfindliche-haut/ultrasensitive-reinigungslotion
Volume-Filler contorno occhi,Volume-Filler Augenpflege,2399265,"Volumengebende Augenpflege, die verlorenes Volumen zurück gibt und die Haut der Augenpartie strafft.",Care,http://www.eucerin.de/~/media/Eucerin/local/de/products/volume-filler/69703-EUCERIN-INT-Volume-Filler-product-header-eye-care.png?mh=150&mw=81&rh=1&z=1,http://www.eucerin.de/produkte/volume-filler/augenpflege
Volume-Filler siero concentrato,Volume-Filler Intensiv-Konzentrat,10530911,Gibt der Haut verlorenes Volumen zurück und re-definiert die Gesichtskonturen.,Special,http://www.eucerin.de/~/media/Eucerin/local/de/products/volume-filler/69760-EUCERIN-INT-Volume-Filler-product-header-concentrate.png?mh=150&mw=81&rh=1&z=1,http://www.eucerin.de/produkte/volume-filler/intensiv-konzentrat
Volume-Filler crema notte,Volume-Filler Nachtpflege,2398780,"baut tiefenwirksam verlorenes Volumen wieder auf für definiertere Gesichtskonturen, mehr Ausstrahlung und ein jüngeres Aussehen.",Care,http://www.eucerin.de/~/media/Eucerin/local/de/products/volume-filler/69702-PS-Volume-Filler-product-header-night-cream-AT.png?mh=150&mw=81&rh=1&z=1,http://www.eucerin.de/produkte/volume-filler/nachtpflege
Volume-Filler crema giorno per pelli da normali a miste,Volume-Filler Tagespflege für normale Haut bis Mischhaut,2398082,"baut tiefenwirksam verlorenes Volumen wieder auf für definiertere Gesichtskonturen, mehr Ausstrahlung und ein jüngeres Aussehen.",Care,http://www.eucerin.de/~/media/Eucerin/local/de/products/volume-filler/69700-PS-Volume-Filler-product-header-day-cream-AT.png?mh=150&mw=81&rh=1&z=1,http://www.eucerin.de/produkte/volume-filler/tagespflege-fuer-normale-haut-bis-mischhaut
Volume-Filler crema giorno per pelli secche,Volume-Filler Tagespflege für trockene Haut,2398107,"baut tiefenwirksam verlorenes Volumen wieder auf für definiertere Gesichtskonturen, mehr Ausstrahlung und ein jüngeres Aussehen.",Care,http://www.eucerin.de/~/media/Eucerin/local/de/products/volume-filler/69701-PS-Volume-Filler-product-header-day-cream-dry-skin-AT.png?mh=150&mw=81&rh=1&z=1,http://www.eucerin.de/produkte/volume-filler/tagespflege-fuer-trockene-haut
Fluido detergente 5% urea,UreaRepair ORIGINAL Waschfluid 5%,1246298,"wirkt hautberuhigend und juckreizlindernd, schützt vor Austrocknung.",Cleaning,http://www.eucerin.de/~/media/Eucerin/local/de/products/urea/63302PSUreaproductheaderWashfluid5UreaAT.png?mh=150&mw=81&rh=1&z=1,http://www.eucerin.de/produkte/urea-repair/original-waschfluid-5prozent-urea
Hyaluron-Filler CC Cream Naturale,Hyaluron-Filler CC Cream Hell,11222778,"Ganz NEU für Sie! Die neue HYALURON-FILLER CC (Complexion Correction) Cream kombiniert den Anti-Falten-Effekt mit einer sofortigen Teint-Korrektur. Probieren Sie die beiden CC-Creams für die Hauttypen hell und mittel passend zu Ihrer Pflegeempfehlung. Eine Anti-Falten-Tagespflege mit Farbpigmenten, die hellen Hauttönen einen gleichmäßigen, strahlenden Teint verleiht.",Special,http://www.eucerin.de/~/media/Eucerin/local/de/products/hyaluron-filler/87921-PS-EUCERIN-INT-Hyaluron-Filler-product-header-CC-Cream_light.png?mh=150&mw=215&rh=1&z=1,http://www.eucerin.de/produkte/hyaluron-filler/cc-cream-hell
Hyaluron-Filler CC Cream Dorata,Hyaluron-Filler CC Cream Mittel,11222784,"Ganz NEU für Sie! Die neue HYALURON-FILLER CC (Complexion Correction) Cream kombiniert den Anti-Falten-Effekt mit einer sofortigen Teint-Korrektur. Probieren Sie die beiden CC-Creams für die Hauttypen hell und mittel passend zu Ihrer Pflegeempfehlung. Eine Anti-Falten-Tagespflege mit Farbpigmenten, die mittleren bis olivfarbenen Hauttönen einen gleichmäßigen, strahlenden Teint verleiht.",Special,http://www.eucerin.de/~/media/Eucerin/local/de/products/hyaluron-filler/87923-PS-EUCERIN-INT-Hyaluron-Filler-product-header-CC-Cream_medium.png?mh=150&mw=215&rh=1&z=1,http://www.eucerin.de/produkte/hyaluron-filler/cc-cream-mittel
